Topic Words,,,,,,,,,,Topic Name,Topic Number
got,think,get,im,amp,know,see,iu2019m,time,good,MISC,4
route,incapable,atm,nowadays,mastermind,stressful,thronesand,pov,jaw,fuss,MISC,3
idea,trying,point,enough,man,death,put,article,making,maybe,MISC,5
game,throne,watching,one,get,never,know,people,time,im,MISC,2
watch,dont,donu2019t,people,even,don’t,want,get,hbo,go,MISC,1
show,tv,best,ever,book,one,bad,itu2019s,great,time,Public Response,59
episode,last,night,3,seen,8,watched,4,never,2,Public Response,60
season,8,final,hbo,petition,remake,1,3,7,2,Criticism,58
bed,sleep,home,couch,room,morning,asleep,eating,mom,wife,MISC,38
rushed,arc,plot,expectation,lazy,felt,predictable,writing,pacing,outcome,Criticism,8
jon,dany,cersei,kill,daenerys,king,sansa,bran,varys,tyrion,Main Characters,34
mute,muted,timeline,tl,twitter,nigga,spoiled,related,block,tweet,Discrimination,18
potter,harry,ring,marvel,lord,mcu,movie,fantasy,lotr,comic,Related Works,47
sexual,violence,rape,woman,sex,incest,christian,murder,porn,nudity,Explicit Content,41
thronesu2019,u2018game,u2018the,daenerysu2019,finale,rampage,u2066gameofthronesu2069,variety,winterfell,u2013,Finale,27
subscription,cable,service,streaming,customer,access,cancel,package,pay,hbo,TV Service,11
thrones”,“game,don’t,it’s,i’m,that’s,i’ve,you’re,can’t,they’re,MISC,45
george,martin,rr,r,book,author,ice,novel,spinoffs,martinu2019s,Novels,33
professor,lesson,expert,student,leadership,teach,study,history,learn,medieval,Educational,56
trump,president,democrat,country,gop,mueller,america,barr,dems,government,Politics,39
visual,compression,effect,dark,cinematographer,cinematography,lighting,fabian,cgi,image,Visual Effects,21
podcast,podcasts,listen,spotify,pod,itunes,dive,guest,discus,apple,Companies,6
threat,climate,walker,human,white,force,global,metaphor,change,existential,Enviornment Metaphor,12
greyjoy,theon,ser,davos,brienne,mormont,jaime,lyanna,samwell,lannister,Main Characters,16
food,egg,dinner,cake,chicken,cream,cheese,potato,recipe,dessert,Food,48
ondemand,dm,address,assist,hi,trouble,addon,send,account,apology,TV Service,29
nba,playoff,draft,nhl,baseball,nfl,football,mlb,coach,tiger,Sports,24
jenny,oldstones,ramin,djawadi,music,florence,song,machine,cover,piano,Show Musicians,42
candidate,warren,2020,elizabeth,policy,aoc,dem,presidential,bernie,democratic,Politics,57
emilia,clarke,sophie,turner,headey,lena,kit,maisie,actress,harington,Main Actors,49
health,mental,affected,fame,illness,depression,maisie,williams,turner,awareness,Actor Mental Illness,35
million,rating,viewer,viewership,record,174,average,number,highest,193,View Record,46
trivia,8pm,wednesday,7pm,thursday,rsvp,pm,tuesday,saturday,reservation,TV Schedule,50
cup,coffee,starbucks,mistake,latte,placement,spotted,advertising,gaffe,herbal,Show Mistakes,19
drinking,u2014,north,—,cherry,tart,mother,stout,beer,tasty,Advertising,52
sociological,psychological,storytelling,narrative,u2066zeynepu2069,fundamental,thronesltemgt,ltemgtgame,zeynep,essay,Fan Analysis,13
anatomy,gossip,sabrina,tale,handmaid,maisel,marvelous,outlander,greyu2019s,diary,TV Shows,53
breaking,blinder,saul,peaky,detective,narcos,wire,fargo,soprano,boardwalk,TV Shows,23
benioff,wei,db,david,iger,trilogy,2022,creator,showrunners,warsu201d,DnD,22
firefly,xfiles,buffy,sg1,stargate,tagging,galactica,gilmore,battlestar,slayer,TV Shows,17
intellectual,property,copyright,prefer,infringement,political,purpose,purposesu201d,enthusiasm,arrived,Copyrights,30
que,de,el,ver,e,este,la,te,con,en,MISC,10
ireland,northern,location,tour,belfast,filmed,filming,visit,croatia,spain,Filming Locations,14
diet,santa,clarita,perry,secretary,criminal,housewife,csi,mason,tos,TV Shows,36
decay,urban,palette,eyeshadow,lipstick,collection,makeup,poshmark,brush,eyeliner,Advertising,7
2018,born,data,29,gregor,33,58,ellaria,11,31,MISC,26
worm,grey,aka,jacob,anderson,unsullied,raleigh,ritchie,missandei,raleighritchie,Main Actors,43
vinyl,funko,bundle,mgagam,supply,snack,figure,buy,listed,pop,Advertising,9
elementary,agent,amsterdam,bonding,umbrella,academy,shield,timeless,riverdale,jessica,TV Shows,15
travis,sza,weeknd,album,scott,soundtrack,aap,inspired,poweru201d,u201cpower,Show Musicians,40
ale,golden,pinot,juice,grigio,ommegang,grape,scotch,pale,belgian,Brewery Promotions,31
fullsize,entered,poster,bleed,donor,automatically,platelet,chance,donate,appointment,Blood Donations,37
richard,madden,bean,sean,starred,broadway,hulk,tide,eric,troy,Main Actors,44
bastard,rose,lion,rain,t4,e4,e9,e2,blackwater,s6,Previous Seasons,55
fender,morello,custom,guitar,nuno,bettencourt,brad,shop,paisley,tom,Show Musicians,51
benefit,secrecy,guarding,greater,guard,operation,manager,hearing,sen,sprinkle,Secrets,20
speaking,throat,voice,slit,u00a0,u0001f64fu0001f3ff,trailersu0001f614,narrator,retweet,u0001f620,MISC,25
top10,ft,thomas,mon,resident,thurs,tues,fri,tomb,raider,TV Schedule,32
uber,tinder,tesla,siri,eats,slack,alexa,phantom,fb,model,Companies,28
iii,ii,iv,vi,orville,viii,ix,voyager,xi,enterprise,Star Treck,54